,Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,Extraverted-enthusiastic,Critical-quarrelsome,Dependable-self_disciplined,Anxious-easily upset,Open to new experiences-complex,Reserved-quiet,Sympathetic-warm,Disorganized-careless,Calm-emotionally_stable,Conventional-uncreative,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,hand,religion,orientation,race,voted,married,familysize,AgeGroups,Condition
6816,0,1,2,0,1,2,1,1,1,1,1,2,0,1,6,6,6,6,6,4,7,6,5,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,2,21,1,1,10,1,10,2,1,2,2,1
6931,3,0,3,3,1,3,3,3,1,0,3,3,3,0,5,5,4,6,7,5,6,7,3,6,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,3,2,2,15,1,1,10,4,20,1,1,5,1,2
37749,1,2,1,1,1,2,1,0,2,1,2,1,1,2,4,5,5,7,4,5,5,4,3,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,20,1,1,10,1,10,2,1,2,2,1
6092,1,1,2,3,1,3,2,1,0,1,2,1,2,2,3,1,1,7,4,5,5,4,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,19,1,2,10,1,10,2,1,4,2,2
11996,1,1,1,2,1,0,1,2,1,3,0,0,0,1,6,5,1,6,5,6,5,1,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,2,29,1,1,2,1,60,2,1,3,3,1
8669,0,0,0,1,0,1,0,1,0,1,0,0,0,1,5,5,6,5,6,5,6,4,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,2,16,1,1,10,1,60,2,1,2,1,0
3146,2,2,3,3,1,3,2,1,1,2,3,1,3,3,3,6,3,2,6,4,4,3,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,3,1,15,1,1,12,2,50,2,1,2,1,2
12915,1,1,3,3,1,3,2,2,2,2,2,1,1,2,2,5,4,7,3,6,1,6,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,1,16,2,1,12,1,60,2,1,3,1,2
7003,2,2,2,2,1,3,2,1,2,2,2,2,2,3,1,5,4,6,4,7,2,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,15,1,1,7,4,70,2,1,4,1,2
12619,0,0,1,1,0,1,0,0,0,0,1,0,0,2,2,4,5,5,5,6,5,5,7,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,18,2,1,2,2,60,2,1,3,2,0
17542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,4,6,1,5,3,6,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,2,25,1,1,10,1,10,1,1,7,3,0
19212,1,0,1,2,1,3,3,0,0,0,3,3,2,1,4,4,6,6,5,5,5,5,5,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,2,25,1,1,10,5,10,2,1,4,3,1
15543,2,0,0,1,0,0,0,0,2,0,0,0,1,0,6,5,6,5,7,6,6,4,4,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,24,1,1,10,2,70,2,2,9,3,0
20582,1,1,1,2,1,2,0,2,1,1,3,1,1,2,4,6,5,6,6,3,6,6,4,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,1,2,21,1,1,10,5,10,1,1,7,2,1
30833,0,3,0,3,1,1,0,1,3,1,2,0,0,3,6,6,2,4,5,6,7,7,5,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,36,1,1,10,1,10,2,2,4,4,1
9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,7,5,7,5,7,1,2,1,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,2,18,2,1,2,2,60,2,1,3,2,2
38172,1,0,1,2,3,1,1,2,1,3,1,1,1,1,6,2,4,5,6,7,6,6,6,3,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,3,1,2,1,21,1,1,10,1,10,2,1,6,2,1
339,2,0,3,1,3,1,3,3,2,1,2,3,3,1,1,1,5,7,5,7,1,5,5,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,2,2,39,2,1,2,2,70,2,1,4,4,2
18956,0,2,0,2,2,2,0,1,3,2,2,0,0,3,4,5,2,6,4,7,6,6,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,1,2,23,1,1,10,0,10,2,1,8,3,1
10150,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,5,6,4,6,4,6,5,6,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,2,1,17,1,1,0,1,70,2,1,4,2,0
16915,0,1,0,1,0,1,0,0,1,0,1,0,0,0,3,5,4,6,5,5,3,4,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,18,1,1,10,0,10,2,1,3,2,0
1157,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,6,1,5,7,6,2,7,4,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,4,1,2,1,24,2,1,2,1,60,1,1,3,3,2
11341,0,0,0,1,1,1,1,0,1,0,0,0,1,0,6,7,7,6,5,6,7,5,6,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,3,3,2,2,20,1,1,10,1,10,2,1,6,2,0
19840,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,3,7,2,7,6,5,5,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,2,24,1,2,10,2,10,1,2,7,3,0
10931,0,1,2,2,0,0,1,0,2,1,0,1,2,3,6,1,3,2,7,3,5,5,4,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,20,1,1,1,1,70,2,1,2,2,1
12994,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,6,5,5,1,7,1,2,1,3,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,2,3,1,1,15,2,1,2,2,10,2,1,4,1,2
11809,0,2,0,1,0,1,0,1,1,0,1,1,0,2,2,1,6,6,2,7,7,6,6,4,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,3,2,2,1,71,2,1,2,1,60,1,3,2,5,0
525,1,3,3,1,1,3,3,2,3,0,3,3,3,3,1,5,7,7,7,7,5,6,3,6,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,2,3,2,2,19,1,2,2,3,60,1,1,1,2,2
16773,2,0,2,1,0,0,0,2,1,0,1,1,1,3,5,4,7,7,7,4,3,5,6,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,24,1,1,10,0,70,2,1,0,3,1
11963,1,2,2,2,2,2,2,3,2,2,1,2,2,2,1,3,5,5,2,6,6,5,4,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,45,2,1,1,1,60,1,3,2,4,2
4681,1,3,1,2,2,1,1,2,2,2,1,1,1,2,6,5,6,3,5,6,5,3,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,4,3,1,1,30,2,1,7,1,60,2,3,2,3,2
1752,3,2,2,3,3,3,1,3,1,3,2,3,1,3,1,5,6,6,7,7,7,5,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,20,1,1,1,1,60,1,1,3,2,2
4214,0,2,0,1,0,3,0,0,1,0,0,3,0,1,6,5,5,7,5,2,6,7,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,2,2,1,14,1,2,2,2,60,2,1,1,1,0
10281,2,1,2,3,1,2,2,0,3,1,1,1,1,1,3,5,5,7,3,6,6,4,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,15,2,1,0,1,60,2,1,2,1,2
9079,2,1,0,1,0,1,1,0,1,1,1,1,1,3,1,4,7,7,7,4,4,3,3,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,24,1,1,10,2,10,2,1,4,3,1
1202,1,1,1,2,1,3,3,2,1,1,3,2,3,3,4,1,2,7,7,4,4,6,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,2,2,2,2,18,2,1,2,2,60,2,1,2,2,2
3624,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,6,1,6,7,4,2,3,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,2,1,52,2,1,4,1,60,1,3,4,5,2
20198,0,0,1,0,1,3,1,0,1,3,1,1,1,2,4,3,4,5,5,4,6,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,20,1,1,10,1,70,0,1,5,2,1
8470,0,0,0,1,1,1,0,0,1,1,0,1,0,1,6,5,5,5,5,1,6,4,3,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,19,1,1,10,0,10,2,1,4,2,0
4536,2,3,3,2,2,3,3,3,2,2,3,3,3,3,6,1,7,5,6,5,7,1,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,3,2,1,15,1,1,7,1,60,2,1,0,1,2
6611,1,2,2,1,2,1,2,1,2,0,2,1,2,2,5,1,5,0,6,1,5,5,6,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,21,1,1,10,1,10,2,1,4,2,2
6764,0,1,1,1,0,2,0,0,0,1,1,1,1,2,4,4,6,3,6,7,7,2,6,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,20,1,1,10,3,10,2,1,4,2,0
18453,0,1,1,3,3,2,3,1,0,0,1,0,3,2,3,7,6,4,6,7,1,5,3,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,2,0,20,1,1,10,5,70,1,1,2,2,1
19896,2,0,0,0,0,0,0,1,0,0,3,0,1,0,3,3,7,7,6,7,7,5,5,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,19,1,1,10,5,10,2,1,4,2,0
2127,0,3,0,2,1,1,1,0,2,1,2,1,1,3,2,5,4,5,3,6,2,6,4,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,2,16,2,2,2,1,60,2,1,4,1,1
17474,0,1,1,0,1,0,0,1,0,1,0,0,0,1,7,7,3,6,7,1,7,5,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,1,2,36,1,1,10,2,10,1,2,3,4,0
9822,1,3,2,3,3,3,3,2,2,3,3,3,2,2,1,5,3,7,4,7,6,4,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,25,1,1,10,2,70,2,1,4,3,2
17780,0,0,0,2,0,2,0,1,1,0,2,0,0,3,2,4,2,6,7,6,6,6,5,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,21,1,1,10,2,10,2,1,5,2,0
2347,1,2,0,1,2,1,0,1,2,1,0,0,0,1,4,5,6,5,3,6,5,4,3,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,36,1,1,7,1,60,1,2,1,4,0
751,2,3,3,3,3,2,2,3,2,3,2,3,2,3,1,1,6,7,4,7,7,7,2,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,20,1,1,2,2,60,2,1,2,2,2
28937,1,2,2,0,1,0,1,2,1,2,1,2,0,3,1,5,5,5,5,7,5,5,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,34,1,1,10,1,10,1,2,1,3,1
2896,1,1,2,3,1,3,3,1,1,2,3,1,3,1,4,5,1,6,5,6,7,5,2,5,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,3,2,2,18,2,1,10,1,70,2,1,5,2,2
6827,1,1,0,3,3,1,1,2,0,2,2,3,1,3,5,6,7,7,5,2,4,1,2,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,2,21,1,1,10,5,10,2,1,4,2,2
17599,1,3,1,1,1,1,1,2,2,2,1,2,1,1,3,3,4,5,4,5,6,6,6,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,3,2,2,19,1,1,10,5,10,2,1,3,2,1
6270,1,1,0,1,0,1,0,1,1,1,1,3,2,2,4,4,5,6,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,23,1,1,10,5,20,2,1,2,3,1
6466,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,5,6,1,7,1,6,3,6,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,4,2,2,2,22,1,1,10,1,70,2,1,3,3,0
18899,1,1,1,1,1,2,2,1,1,1,2,1,3,2,5,5,5,5,3,4,5,5,3,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3,1,2,18,1,1,10,1,10,2,1,8,2,1
20035,1,1,1,1,1,2,1,1,2,1,3,0,1,0,6,5,6,7,4,3,7,7,1,6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,22,1,1,10,1,10,2,1,5,3,1
1627,0,1,2,3,1,1,1,3,0,1,2,3,3,2,1,6,5,5,6,7,4,4,6,3,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,2,1,2,1,17,1,1,2,3,60,2,1,2,2,2
12068,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,5,6,7,5,7,7,3,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,3,2,1,18,2,1,2,5,60,2,1,1,2,2
9145,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,6,6,6,4,4,5,5,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,3,2,2,15,1,1,1,5,70,2,1,3,1,2
6310,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,7,6,4,7,6,1,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,15,1,3,7,2,60,2,1,2,1,2
3309,1,3,2,2,3,2,2,2,2,2,3,1,3,3,2,5,6,7,5,3,1,3,1,6,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,2,3,2,1,22,1,1,2,1,60,2,1,3,3,2
10417,1,1,2,3,2,2,0,3,2,1,1,1,1,3,2,5,6,5,5,7,6,5,4,7,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,3,3,2,2,27,1,1,10,1,10,2,1,4,3,2
23688,2,2,0,1,1,1,0,3,2,1,2,0,1,1,5,3,3,3,6,6,7,6,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,17,1,2,10,1,10,2,1,2,2,1
4839,3,2,1,0,2,2,2,1,1,2,2,2,2,2,1,6,3,3,6,7,6,3,2,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,2,17,1,1,10,1,10,2,1,5,2,2
16722,1,0,0,2,0,1,0,0,1,1,0,0,0,1,3,6,5,6,3,6,5,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,20,1,1,10,1,10,2,1,4,2,0
37010,1,1,1,1,1,2,1,1,1,1,2,0,0,1,3,6,5,6,5,5,3,5,2,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,1,2,22,2,1,2,1,70,1,1,3,3,1
1476,0,2,0,1,0,0,0,1,1,0,1,0,0,2,7,3,5,4,7,1,5,5,4,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,3,2,1,1,28,2,2,1,1,60,1,1,1,3,0
6752,1,2,2,2,2,3,3,1,3,2,2,1,2,2,6,5,6,7,6,1,6,1,2,5,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,3,2,2,15,1,1,10,1,10,2,1,4,1,2
3559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,1,6,4,6,2,6,3,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,17,2,1,3,1,60,2,1,3,2,0
9863,0,0,3,1,3,2,3,2,1,1,2,3,3,1,5,2,4,1,2,7,4,6,6,7,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,2,21,1,1,10,1,10,2,1,1,2,2
1913,0,2,0,0,0,1,0,0,0,0,0,0,1,3,5,6,4,5,4,2,5,5,5,6,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,1,1,27,1,1,1,1,60,1,1,2,3,0
18077,0,1,1,1,0,1,0,0,1,0,1,0,0,1,6,3,6,0,6,2,6,4,6,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,2,21,1,1,10,1,10,2,1,6,2,0
11876,1,0,0,3,0,2,0,0,3,1,2,0,1,1,4,4,5,6,6,7,7,5,2,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,3,2,2,19,2,1,1,1,60,2,1,1,2,1
13815,2,1,3,3,2,3,3,2,3,3,3,1,3,3,1,7,7,7,6,6,6,7,2,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,3,2,21,1,1,2,4,60,1,1,1,2,2
3395,1,2,1,3,2,3,3,1,2,3,3,1,2,2,1,7,6,7,2,7,5,1,3,6,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,3,3,1,2,31,1,1,2,1,60,1,1,2,3,2
13011,1,1,1,3,2,3,3,3,3,3,3,3,3,3,4,4,3,6,3,6,4,6,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,13,2,1,0,0,60,2,1,0,1,2
13561,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,2,1,13,1,1,4,5,30,2,1,2,1,2
9883,3,3,2,3,2,3,3,2,2,2,3,2,3,3,5,5,4,7,5,7,7,4,5,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,2,2,20,2,1,10,5,70,2,1,4,2,2
9334,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,6,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,1,19,1,1,10,0,10,2,1,5,2,0
5676,0,0,0,1,1,1,0,0,1,0,1,1,1,2,5,3,5,6,6,3,6,0,4,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,3,2,3,2,22,1,1,10,1,10,1,1,4,3,0
27635,0,2,1,2,1,3,1,1,1,2,2,0,0,1,1,1,3,3,5,6,4,5,5,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,1,1,34,1,1,6,1,60,1,2,4,3,1
8670,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3,3,5,1,6,3,7,5,5,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,1,2,2,22,1,1,10,5,70,2,1,7,3,0
17130,1,1,1,2,1,0,0,2,2,2,2,0,0,2,4,5,4,7,3,6,6,5,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,19,1,1,10,1,10,2,1,4,2,1
36863,0,1,2,2,1,1,1,1,1,0,3,2,1,1,4,4,0,6,4,7,5,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,22,1,1,10,1,10,2,1,3,3,1
8049,1,1,2,3,2,3,2,3,1,1,1,1,3,1,4,4,5,5,5,7,5,4,5,6,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,2,1,2,2,16,1,1,10,5,70,2,1,5,1,2
18152,0,0,0,0,1,1,1,0,1,0,1,0,0,1,5,5,0,3,6,2,4,5,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,2,29,2,1,10,2,10,1,1,5,3,0
5057,1,2,2,3,3,3,2,3,2,2,3,3,3,1,5,6,7,6,6,7,6,6,3,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,1,2,2,22,1,0,10,1,10,2,1,2,3,2
13075,1,1,2,2,1,3,1,1,0,1,3,2,2,1,3,5,1,7,5,4,4,6,2,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,1,17,1,1,1,1,60,2,1,4,2,2
2622,3,3,1,3,2,1,3,2,3,2,1,1,3,1,2,6,7,1,6,7,3,2,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3,1,2,21,2,1,2,1,60,1,1,2,2,2
8793,2,3,3,3,3,3,3,3,2,2,3,3,3,2,4,5,3,6,6,5,5,6,4,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,21,2,1,10,2,10,2,1,4,2,2
2021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,3,5,4,5,1,7,4,5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,44,2,1,6,1,10,2,2,5,4,0
13493,2,2,3,3,1,3,3,1,3,1,3,3,3,2,3,3,6,7,2,6,2,5,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,2,18,1,1,6,1,70,2,1,3,2,2
11622,1,0,1,2,1,2,1,1,1,0,1,1,2,1,2,1,7,5,7,6,7,5,5,6,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,2,3,2,1,21,2,1,7,1,30,2,1,3,2,1
31558,1,1,1,1,0,2,1,1,1,1,1,1,0,2,5,2,6,7,7,5,7,4,3,2,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,2,2,23,1,1,10,1,10,2,1,5,3,1
20842,1,1,0,1,0,1,0,1,1,0,1,0,0,1,5,2,7,6,5,5,7,5,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,20,1,2,10,2,10,2,1,5,2,0
6570,0,0,2,1,1,0,0,1,0,1,0,1,0,1,2,1,4,5,5,6,6,3,4,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,19,1,1,10,0,10,2,1,2,2,0
753,0,2,0,1,0,0,0,0,1,0,0,1,0,1,3,5,3,6,6,5,5,5,3,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,4,2,2,1,33,1,1,4,1,60,1,2,3,3,0
13700,1,1,3,0,1,3,0,1,0,1,1,1,0,0,3,1,4,1,5,7,5,5,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,2,18,1,1,0,0,70,2,1,0,2,0
5220,3,1,3,3,2,3,3,2,2,2,3,3,3,1,6,5,7,7,4,7,5,6,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,1,19,2,1,10,5,10,2,1,2,2,2
6173,2,3,3,3,3,3,3,3,1,2,3,3,3,2,3,4,2,3,3,5,5,7,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,2,20,1,1,1,1,10,1,1,1,2,2
11602,1,2,2,2,2,2,2,2,1,2,2,3,2,2,3,4,3,5,3,7,5,5,3,4,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,1,2,23,2,1,4,1,60,1,1,1,3,2
13280,1,3,2,3,1,1,0,1,2,1,1,1,1,1,3,5,6,7,6,5,7,2,3,2,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,2,2,1,17,1,1,7,1,60,2,1,2,2,1
1519,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,7,6,2,5,7,2,1,7,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,1,1,14,1,1,2,1,60,2,1,1,1,0
27805,1,1,2,2,2,0,2,1,2,1,0,2,3,1,6,2,5,4,7,3,6,2,6,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,45,2,1,12,1,60,2,2,1,4,1
17848,0,1,0,1,1,1,1,0,1,0,0,1,0,1,5,3,6,1,5,4,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,21,1,1,8,2,10,1,1,5,2,0
1806,1,0,1,2,1,1,1,2,2,2,1,3,3,1,1,7,3,6,2,6,5,5,2,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,1,2,22,2,1,1,2,70,2,1,0,3,2
132,1,0,1,1,1,0,0,0,0,1,0,0,0,2,4,3,3,3,3,4,4,4,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,2,2,14,2,1,1,5,60,2,1,2,1,0
4912,1,0,1,1,1,0,0,1,0,1,0,0,0,0,3,4,6,4,6,7,5,5,4,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2,1,23,1,1,10,3,70,2,1,3,3,0
3741,0,2,1,1,0,1,0,1,1,1,1,1,0,2,6,6,5,4,7,3,6,3,6,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,2,2,1,1,50,2,1,2,1,60,1,3,2,5,0
9269,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,1,3,7,3,3,3,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,3,1,2,24,1,2,10,1,10,2,1,3,3,0
31135,2,1,1,1,2,1,2,2,1,2,1,1,2,1,4,5,5,6,6,7,6,4,4,2,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,3,1,2,2,24,1,1,3,1,10,2,1,4,3,1
9437,2,2,2,3,1,2,1,1,3,1,2,2,2,1,4,3,6,6,5,4,4,4,2,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,2,1,14,1,1,4,1,70,2,1,3,1,2
22977,0,1,2,1,1,2,1,0,2,0,2,1,1,0,6,7,5,4,7,2,3,2,1,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,18,1,1,10,1,10,2,1,4,2,1
32907,2,1,1,1,1,1,2,3,1,1,2,0,0,3,5,4,6,6,7,4,5,7,5,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,2,3,2,2,17,1,1,10,1,10,2,1,6,2,1
22573,1,1,1,1,2,1,1,2,1,0,1,0,1,1,5,3,1,5,4,5,4,5,3,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,16,1,1,10,1,10,2,1,3,1,1
19348,0,0,1,1,0,1,0,1,1,2,0,0,1,3,7,7,6,5,6,2,5,6,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,25,1,1,10,1,10,1,1,3,3,0
19017,3,1,0,1,0,1,0,0,0,1,1,1,1,0,4,5,2,3,4,2,5,6,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,19,1,1,10,1,10,2,1,0,2,0
6590,0,1,1,1,3,1,1,0,2,1,1,1,1,1,7,2,7,5,7,2,6,6,4,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,1,20,1,1,10,1,10,2,1,5,2,1
2716,0,3,1,1,3,2,0,1,2,3,1,0,0,3,6,5,3,6,6,2,6,6,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,0,2,1,20,1,1,1,2,60,1,1,2,2,1
